name,state_id
gubio,6445a5424c645a56f6c95a7e
guzamala,6445a5424c645a56f6c95a7e
gwoza,6445a5424c645a56f6c95a7e
hawul,6445a5424c645a56f6c95a7e
jere,6445a5424c645a56f6c95a7e
kaga,6445a5424c645a56f6c95a7e
kala/balge,6445a5424c645a56f6c95a7e
konduga,6445a5424c645a56f6c95a7e
kukawa,6445a5424c645a56f6c95a7e
kwaya kusar,6445a5424c645a56f6c95a7e
mafa,6445a5424c645a56f6c95a7e
magumeri,6445a5424c645a56f6c95a7e
maiduguri,6445a5424c645a56f6c95a7e
marte,6445a5424c645a56f6c95a7e
mobbar,6445a5424c645a56f6c95a7e
monguno,6445a5424c645a56f6c95a7e
ngala,6445a5424c645a56f6c95a7e
nganzai,6445a5424c645a56f6c95a7e
shani,6445a5424c645a56f6c95a7e
abi,6445a5424c645a56f6c95a80
akamkpa,6445a5424c645a56f6c95a80
akpabuyo,6445a5424c645a56f6c95a80
bakassi,6445a5424c645a56f6c95a80
bekwarra,6445a5424c645a56f6c95a80
biase,6445a5424c645a56f6c95a80
boki,6445a5424c645a56f6c95a80
calabar municipal,6445a5424c645a56f6c95a80
calabar south,6445a5424c645a56f6c95a80
etung,6445a5424c645a56f6c95a80
ikom,6445a5424c645a56f6c95a80
obanliku,6445a5424c645a56f6c95a80
obubra,6445a5424c645a56f6c95a80
obudu,6445a5424c645a56f6c95a80
odukpani,6445a5424c645a56f6c95a80
ogoja,6445a5424c645a56f6c95a80
yakuur,6445a5424c645a56f6c95a80
yala,6445a5424c645a56f6c95a80
aniocha north,6445a5424c645a56f6c95a82
aniocha south,6445a5424c645a56f6c95a82
bomadi,6445a5424c645a56f6c95a82
burutu,6445a5424c645a56f6c95a82
ethiope east,6445a5424c645a56f6c95a82
ethiope west,6445a5424c645a56f6c95a82
ika north east,6445a5424c645a56f6c95a82
ika south,6445a5424c645a56f6c95a82
isoko north,6445a5424c645a56f6c95a82
isoko south,6445a5424c645a56f6c95a82
ndokwa east,6445a5424c645a56f6c95a82
ndokwa west,6445a5424c645a56f6c95a82
okpe,6445a5424c645a56f6c95a82
oshimili north,6445a5424c645a56f6c95a82
oshimili south,6445a5424c645a56f6c95a82
patani,6445a5424c645a56f6c95a82
sapele,6445a5424c645a56f6c95a82
udu,6445a5424c645a56f6c95a82
ughelli north,6445a5424c645a56f6c95a82
ughelli south,6445a5424c645a56f6c95a82
ukwuani,6445a5424c645a56f6c95a82
uvwie,6445a5424c645a56f6c95a82
warri north,6445a5424c645a56f6c95a82
warri south,6445a5424c645a56f6c95a82
warri south west,6445a5424c645a56f6c95a82
abakaliki,6445a5434c645a56f6c95abc
afikpo north,6445a5434c645a56f6c95abc
afikpo south,6445a5434c645a56f6c95abc
ebonyi,6445a5434c645a56f6c95abc
ezza north,6445a5434c645a56f6c95abc
ezza south,6445a5434c645a56f6c95abc
ikwo,6445a5434c645a56f6c95abc
ishielu,6445a5434c645a56f6c95abc
ivo,6445a5434c645a56f6c95abc
izzi,6445a5434c645a56f6c95abc
ohaozara,6445a5434c645a56f6c95abc
ohaukwu,6445a5434c645a56f6c95abc
onicha,6445a5434c645a56f6c95abc
akoko-edo,6445a5424c645a56f6c95a86
egor,6445a5424c645a56f6c95a86
esan central,6445a5424c645a56f6c95a86
esan north-east,6445a5424c645a56f6c95a86
esan south-east,6445a5424c645a56f6c95a86
esan west,6445a5424c645a56f6c95a86
etsako central,6445a5424c645a56f6c95a86
etsako east,6445a5424c645a56f6c95a86
etsako west,6445a5424c645a56f6c95a86
igueben,6445a5424c645a56f6c95a86
ikpoba okha,6445a5424c645a56f6c95a86
orhionmwon,6445a5424c645a56f6c95a86
oredo,6445a5424c645a56f6c95a86
ovia north-east,6445a5424c645a56f6c95a86
ovia south-west,6445a5424c645a56f6c95a86
owan east,6445a5424c645a56f6c95a86
owan west,6445a5424c645a56f6c95a86
uhunmwonde,6445a5424c645a56f6c95a86
ado ekiti,6445a5424c645a56f6c95a88
efon,6445a5424c645a56f6c95a88
ekiti east,6445a5424c645a56f6c95a88
ekiti south-west,6445a5424c645a56f6c95a88
ekiti west,6445a5424c645a56f6c95a88
emure,6445a5424c645a56f6c95a88
gbonyin,6445a5424c645a56f6c95a88
ido osi,6445a5424c645a56f6c95a88
ijero,6445a5424c645a56f6c95a88
ikere,6445a5424c645a56f6c95a88
ikole,6445a5424c645a56f6c95a88
ilejemeje,6445a5424c645a56f6c95a88
irepodun/ifelodun,6445a5424c645a56f6c95a88
ise/orun,6445a5424c645a56f6c95a88
moba,6445a5424c645a56f6c95a88
oye,6445a5424c645a56f6c95a88
aninri,6445a5434c645a56f6c95abe
awgu,6445a5434c645a56f6c95abe
enugu east,6445a5434c645a56f6c95abe
enugu north,6445a5434c645a56f6c95abe
enugu south,6445a5434c645a56f6c95abe
ezeagu,6445a5434c645a56f6c95abe
igbo etiti,6445a5434c645a56f6c95abe
igbo eze north,6445a5434c645a56f6c95abe
igbo eze south,6445a5434c645a56f6c95abe
isi uzo,6445a5434c645a56f6c95abe
nkanu east,6445a5434c645a56f6c95abe
nkanu west,6445a5434c645a56f6c95abe
nsukka,6445a5434c645a56f6c95abe
oji river,6445a5434c645a56f6c95abe
udenu,6445a5434c645a56f6c95abe
udi,6445a5434c645a56f6c95abe
uzo uwani,6445a5434c645a56f6c95abe
abaji,6445a5424c645a56f6c95a8a
bwari,6445a5424c645a56f6c95a8a
gwagwalada,6445a5424c645a56f6c95a8a
kuje,6445a5424c645a56f6c95a8a
kwali,6445a5424c645a56f6c95a8a
municipal area council,6445a5424c645a56f6c95a8a
akko,6445a5424c645a56f6c95a8c
balanga,6445a5424c645a56f6c95a8c
billiri,6445a5424c645a56f6c95a8c
dukku,6445a5424c645a56f6c95a8c
funakaye,6445a5424c645a56f6c95a8c
gombe,6445a5424c645a56f6c95a8c
kaltungo,6445a5424c645a56f6c95a8c
kwami,6445a5424c645a56f6c95a8c
nafada,6445a5424c645a56f6c95a8c
shongom,6445a5424c645a56f6c95a8c
yamaltu/deba,6445a5424c645a56f6c95a8c
aboh mbaise,6445a5424c645a56f6c95a90
ahiazu mbaise,6445a5424c645a56f6c95a90
ehime mbano,6445a5424c645a56f6c95a90
ezinihitte,6445a5424c645a56f6c95a90
ideato north,6445a5424c645a56f6c95a90
ideato south,6445a5424c645a56f6c95a90
ihitte/uboma,6445a5424c645a56f6c95a90
ikeduru,6445a5424c645a56f6c95a90
isiala mbano,6445a5424c645a56f6c95a90
isu,6445a5424c645a56f6c95a90
mbaitoli,6445a5424c645a56f6c95a90
ngor okpala,6445a5424c645a56f6c95a90
njaba,6445a5424c645a56f6c95a90
nkwerre,6445a5424c645a56f6c95a90
nwangele,6445a5424c645a56f6c95a90
obowo,6445a5424c645a56f6c95a90
oguta,6445a5424c645a56f6c95a90
ohaji/egbema,6445a5424c645a56f6c95a90
okigwe,6445a5424c645a56f6c95a90
orlu,6445a5424c645a56f6c95a90
orsu,6445a5424c645a56f6c95a90
oru east,6445a5424c645a56f6c95a90
oru west,6445a5424c645a56f6c95a90
owerri municipal,6445a5424c645a56f6c95a90
owerri north,6445a5424c645a56f6c95a90
owerri west,6445a5424c645a56f6c95a90
unuimo,6445a5424c645a56f6c95a90
auyo,6445a5424c645a56f6c95a92
babura,6445a5424c645a56f6c95a92
biriniwa,6445a5424c645a56f6c95a92
birnin kudu,6445a5424c645a56f6c95a92
buji,6445a5424c645a56f6c95a92
dutse,6445a5424c645a56f6c95a92
gagarawa,6445a5424c645a56f6c95a92
garki,6445a5424c645a56f6c95a92
gumel,6445a5424c645a56f6c95a92
guri,6445a5424c645a56f6c95a92
gwaram,6445a5424c645a56f6c95a92
gwiwa,6445a5424c645a56f6c95a92
hadejia,6445a5424c645a56f6c95a92
jahun,6445a5424c645a56f6c95a92
kafin hausa,6445a5424c645a56f6c95a92
kazaure,6445a5424c645a56f6c95a92
kiri kasama,6445a5424c645a56f6c95a92
kiyawa,6445a5424c645a56f6c95a92
kaugama,6445a5424c645a56f6c95a92
maigatari,6445a5424c645a56f6c95a92
malam madori,6445a5424c645a56f6c95a92
miga,6445a5424c645a56f6c95a92
ringim,6445a5424c645a56f6c95a92
roni,6445a5424c645a56f6c95a92
sule tankarkar,6445a5424c645a56f6c95a92
taura,6445a5424c645a56f6c95a92
yankwashi,6445a5424c645a56f6c95a92
birnin gwari,6445a5434c645a56f6c95ab8
chikun,6445a5434c645a56f6c95ab8
giwa,6445a5434c645a56f6c95ab8
igabi,6445a5434c645a56f6c95ab8
ikara,6445a5434c645a56f6c95ab8
jaba,6445a5434c645a56f6c95ab8
jema'a,6445a5434c645a56f6c95ab8
kachia,6445a5434c645a56f6c95ab8
kaduna north,6445a5434c645a56f6c95ab8
kaduna south,6445a5434c645a56f6c95ab8
kagarko,6445a5434c645a56f6c95ab8
kajuru,6445a5434c645a56f6c95ab8
kaura,6445a5434c645a56f6c95ab8
kauru,6445a5434c645a56f6c95ab8
kubau,6445a5434c645a56f6c95ab8
kudan,6445a5434c645a56f6c95ab8
lere,6445a5434c645a56f6c95ab8
makarfi,6445a5434c645a56f6c95ab8
sabon gari,6445a5434c645a56f6c95ab8
sanga,6445a5434c645a56f6c95ab8
soba,6445a5434c645a56f6c95ab8
zangon kataf,6445a5434c645a56f6c95ab8
zaria,6445a5434c645a56f6c95ab8
ajingi,6445a5424c645a56f6c95a94
albasu,6445a5424c645a56f6c95a94
bagwai,6445a5424c645a56f6c95a94
bebeji,6445a5424c645a56f6c95a94
bichi,6445a5424c645a56f6c95a94
bunkure,6445a5424c645a56f6c95a94
dala,6445a5424c645a56f6c95a94
dambatta,6445a5424c645a56f6c95a94
dawakin kudu,6445a5424c645a56f6c95a94
dawakin tofa,6445a5424c645a56f6c95a94
doguwa,6445a5424c645a56f6c95a94
fagge,6445a5424c645a56f6c95a94
gabasawa,6445a5424c645a56f6c95a94
garko,6445a5424c645a56f6c95a94
garun mallam,6445a5424c645a56f6c95a94
gaya,6445a5424c645a56f6c95a94
gezawa,6445a5424c645a56f6c95a94
gwale,6445a5424c645a56f6c95a94
gwarzo,6445a5424c645a56f6c95a94
kabo,6445a5424c645a56f6c95a94
kano municipal,6445a5424c645a56f6c95a94
karaye,6445a5424c645a56f6c95a94
kibiya,6445a5424c645a56f6c95a94
kiru,6445a5424c645a56f6c95a94
kumbotso,6445a5424c645a56f6c95a94
kunchi,6445a5424c645a56f6c95a94
kura,6445a5424c645a56f6c95a94
madobi,6445a5424c645a56f6c95a94
makoda,6445a5424c645a56f6c95a94
minjibir,6445a5424c645a56f6c95a94
nasarawa,6445a5424c645a56f6c95a94
rano,6445a5424c645a56f6c95a94
rimin gado,6445a5424c645a56f6c95a94
rogo,6445a5424c645a56f6c95a94
shanono,6445a5424c645a56f6c95a94
sumaila,6445a5424c645a56f6c95a94
takai,6445a5424c645a56f6c95a94
tarauni,6445a5424c645a56f6c95a94
tofa,6445a5424c645a56f6c95a94
tsanyawa,6445a5424c645a56f6c95a94
tudun wada,6445a5424c645a56f6c95a94
ungogo,6445a5424c645a56f6c95a94
warawa,6445a5424c645a56f6c95a94
wudil,6445a5424c645a56f6c95a94
bakori,6445a5434c645a56f6c95aba
batagarawa,6445a5434c645a56f6c95aba
batsari,6445a5434c645a56f6c95aba
baure,6445a5434c645a56f6c95aba
bindawa,6445a5434c645a56f6c95aba
charanchi,6445a5434c645a56f6c95aba
dandume,6445a5434c645a56f6c95aba
danja,6445a5434c645a56f6c95aba
dan musa,6445a5434c645a56f6c95aba
daura,6445a5434c645a56f6c95aba
dutsi,6445a5434c645a56f6c95aba
dutsin ma,6445a5434c645a56f6c95aba
faskari,6445a5434c645a56f6c95aba
funtua,6445a5434c645a56f6c95aba
ingawa,6445a5434c645a56f6c95aba
jibia,6445a5434c645a56f6c95aba
kafur,6445a5434c645a56f6c95aba
kaita,6445a5434c645a56f6c95aba
kankara,6445a5434c645a56f6c95aba
kankia,6445a5434c645a56f6c95aba
katsina,6445a5434c645a56f6c95aba
kurfi,6445a5434c645a56f6c95aba
kusada,6445a5434c645a56f6c95aba
mai'adua,6445a5434c645a56f6c95aba
malumfashi,6445a5434c645a56f6c95aba
mani,6445a5434c645a56f6c95aba
mashi,6445a5434c645a56f6c95aba
matazu,6445a5434c645a56f6c95aba
musawa,6445a5434c645a56f6c95aba
rimi,6445a5434c645a56f6c95aba
sabuwa,6445a5434c645a56f6c95aba
safana,6445a5434c645a56f6c95aba
sandamu,6445a5434c645a56f6c95aba
zango,6445a5434c645a56f6c95aba
aleiro,6445a5424c645a56f6c95a98
arewa dandi,6445a5424c645a56f6c95a98
argungu,6445a5424c645a56f6c95a98
augie,6445a5424c645a56f6c95a98
bagudo,6445a5424c645a56f6c95a98
birnin kebbi,6445a5424c645a56f6c95a98
bunza,6445a5424c645a56f6c95a98
dandi,6445a5424c645a56f6c95a98
fakai,6445a5424c645a56f6c95a98
gwandu,6445a5424c645a56f6c95a98
jega,6445a5424c645a56f6c95a98
kalgo,6445a5424c645a56f6c95a98
koko/besse,6445a5424c645a56f6c95a98
maiyama,6445a5424c645a56f6c95a98
ngaski,6445a5424c645a56f6c95a98
sakaba,6445a5424c645a56f6c95a98
shanga,6445a5424c645a56f6c95a98
suru,6445a5424c645a56f6c95a98
wasagu/danko,6445a5424c645a56f6c95a98
yauri,6445a5424c645a56f6c95a98
zuru,6445a5424c645a56f6c95a98
adavi,6445a5424c645a56f6c95a9a
ajaokuta,6445a5424c645a56f6c95a9a
ankpa,6445a5424c645a56f6c95a9a
bassa,6445a5424c645a56f6c95a9a
dekina,6445a5424c645a56f6c95a9a
ibaji,6445a5424c645a56f6c95a9a
idah,6445a5424c645a56f6c95a9a
